,ID,brand,model,year,worked,price,color,engine_status,chassis_status,body_status,insurance_deadline
766,QY4mZJHI,peugeot,405,1392,144000,142000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,5
767,QY4mJmQc,quick,manual,1399,20000,185000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
768,QY4i50Vs,dena,plus,1399,26000,360000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
769,QY4ipj45,pride,sedan,1388,290000,68500000,نقرهu200cای,سالم,سالم و پلمپ,دوررنگ,9
770,QY4ip6bA,samand,se,1391,220000,88000000,سفید,سالم,سالم و پلمپ,تمامu200cرنگ,3
771,QY4iJxPh,bmw,3-series-sedan,2008,250000,510000000,مشکی,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,3
772,QYw6Egxs,peugeot,206,1392,160000,100000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,12
773,QY4iJyiX,kia,sportage,2014,82000,1000000000,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,2
774,QYVtX1Jz,chery,arrizo-6,1400,0,262000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
775,QY-9Dixf,mvm,x22,1400,0,204000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
776,QY4iZoBO,pride,132,1390,180000,82000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,8
777,QY4WpI2h,hyundai,tucson-ix35,2010,150000,710000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
778,QY4eZovb,dena,basic,1398,27000,320000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
779,QY4OGp0J,mvm,x22,1400,3,174000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
780,QY4ipKhB,peugeot,405,1395,149000,167000000,خاکستری,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,6
781,QY4ipWUT,pride,131,1398,50000,144000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
782,QY4apIlK,pride,132,1388,222588,65000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,11
783,QY4WZsgU,peugeot,206,1396,80000,228000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
784,QY4epBnt,pride,111,1395,32000,130000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
785,QY4e5IQn,mvm,315-hatchback,1394,85000,190000000,آلبالویی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
786,QY4aJWBX,peugeot,206,1383,250000,86000000,نقرهu200cای,سالم,,رنگu200cشدگی، در چند ناحیه,10
787,QY4O5tnZ,peugeot,206,1394,98000,210000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,4
788,QY0KZLbE,hyundai,sonata-nf,2007,200000,490000000,سفید صدفی,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,6
789,QY2ysMfF,peugeot,207i,1399,16000,337000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
